id;Notes_A_P01;Notes_A_P02;Notes_A_P03;Notes_B_P04;Notes_B_P05;Notes_B_P06;Notes_C_P07;Notes_C_P08;Notes_C_P09;Notes_D_P10;Notes_D_P11;Notes_D_P12;Notes_E_P13;Notes_E_P14;Notes_E_P15;Notes_F_P16;Notes_F_P17;Notes_F_P18;SUM
additional-input_special-mouse-keys;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4
additional-environment_outside-office;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;6
add-shortcut_combination-of-shortcut;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
add-shortcut_end-task;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
add-shortcut_operate/navigate-system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
add-shortcut_programming;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
add-shortcut_special-chars;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
control_binary;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;4
foot_balls;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;8
foot_heel;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;4
control_graduell;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;4
foot_whole-foot;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;4
design-angle_flat;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;8
design-angle_slightly-angled;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;11
design-physical-req_back-to-startposition;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
design-mounted_chair-leg;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
design-connection_cable;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;8
design-connection_irrelevant;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;6
design-shape_curved;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
design-physical-req_feedback;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;5
design-physical-req_adjustable;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;8
design-physical-req_portable;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;11
design-physical-req_quiet;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;4
design-physical-req_resistance;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;10
design-aesthetics_simple;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;3
design-physical-req_stable-grip;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;4
design-connection_wireless;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;7
design-size_narrow;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
design-size_whole-foot;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;3
design-size_wide;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_balance-pad;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
device_box;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_buttons;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;5
device_camera-tracking;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
device_combination;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;4
device_dependent-on-task;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
device_digital-gesture-pad;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4
device_foot-moves-there;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;4
device_gestures;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;4
device_heath-info;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
design-device_device-individually;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;4
device_lever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_mouse-wheel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_pad;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;5
device_pedal;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;12
device_piano-pedal;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
device_position-tracking;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
device_sensors;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_sensor-sock;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
device_slider;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_toggle-switch;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;7
design-physical-req_with-rest;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;8
device-count_four;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;6
device-count_one;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
device-count_three;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;7
device-count_two;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;7
device-motion_both-ways;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
device-motion_front-down;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
value_expansion-not-substitution;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;6
feedback_click;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;11
