user_id,key,mapped_to,first_down_time,up_time,down_count,filename
2,Key.f23,Alt,2024-10-02 09:23:15,2024-10-02 10:21:46,249,002_20241002_090331_key_events.csv
3,Key.f24,Alt,2024-09-30 10:15:26,2024-09-30 10:23:36,237,003_20240930_100543_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:29:00,2024-09-30 09:29:23,185,002_20240930_091042_key_events.csv
2,Key.f23,Alt,2024-10-02 09:06:49,2024-10-02 09:07:09,174,002_20241002_090331_key_events.csv
1,Key.f22,Alt,2024-10-01 16:56:08,2024-10-01 16:56:29,166,001_20241001_161248_key_events.csv
8,Key.f24,Up,2024-10-14 16:24:00,2024-10-14 16:25:15,158,008_20241014_083344_key_events.csv
2,Key.f23,Alt,2024-10-02 09:03:51,2024-10-02 09:04:09,157,002_20241002_090331_key_events.csv
7,Key.f24,Ctrl+z,2024-10-16 16:34:38,2024-10-16 16:34:52,123,007_20241016_115038_key_events.csv
2,Key.f23,Alt,2024-10-02 11:25:58,2024-10-02 11:26:11,117,002_20241002_090331_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:28:21,2024-09-30 09:28:33,109,002_20240930_091042_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:26:08,2024-09-30 09:26:21,108,002_20240930_091042_key_events.csv
3,Key.f24,Alt,2024-09-30 10:23:36,2024-09-30 10:23:47,104,003_20240930_100543_key_events.csv
2,Key.f23,Alt,2024-10-02 09:23:03,2024-10-02 09:23:15,101,002_20241002_090331_key_events.csv
3,Key.f24,Alt,2024-09-30 10:15:15,2024-09-30 10:15:26,101,003_20240930_100543_key_events.csv
1,Key.f22,Alt,2024-10-01 16:56:29,2024-10-01 16:56:40,90,001_20241001_161248_key_events.csv
6,Key.f23,mouse_left,2024-10-07 13:12:31,2024-10-07 13:12:35,88,006_20241007_130239_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:28:11,2024-09-30 09:28:21,87,002_20240930_091042_key_events.csv
11,Key.f23,volumeup,2024-10-24 01:42:06,2024-10-24 01:42:15,83,011_20241023_190050_key_events.csv
7,Key.f24,fn,2024-10-15 10:34:04,2024-10-15 10:34:14,79,007_20241015_103238_key_events.csv
1,Key.f22,Alt,2024-10-01 16:50:14,2024-10-01 16:50:22,64,001_20241001_161248_key_events.csv
2,Key.f24,Ctrl,2024-09-30 10:28:43,2024-09-30 10:59:21,56,002_20240930_091042_key_events.csv
3,Key.f22,mouse_middle,2024-09-30 15:24:43,2024-09-30 15:24:45,56,003_20240930_100543_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:45:39,2024-09-30 09:45:46,55,002_20240930_091042_key_events.csv
7,Key.f23,Ctrl+Tab,2024-10-14 13:05:53,2024-10-14 13:06:00,52,007_20241014_094101_key_events.csv
3,Key.f24,Alt,2024-09-30 10:15:09,2024-09-30 10:15:15,50,003_20240930_100543_key_events.csv
6,Key.f23,volumedown,2024-10-09 15:50:07,2024-10-09 15:50:57,46,006_20241009_084415_key_events.csv
7,Key.f24,fn,2024-10-15 10:33:56,2024-10-15 10:34:02,46,007_20241015_103238_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:27:36,2024-09-30 09:27:41,46,002_20240930_091042_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:28:33,2024-09-30 09:28:38,44,002_20240930_091042_key_events.csv
6,Key.f23,mouse_left,2024-10-07 13:12:37,2024-10-07 13:12:48,44,006_20241007_130239_key_events.csv
3,Key.f24,no key,2024-09-30 10:15:34,2024-09-30 10:15:34,43,003_20240930_100543_key_events.csv
6,Key.f23,mouse_left,2024-10-07 13:12:35,2024-10-07 13:12:37,43,006_20241007_130239_key_events.csv
2,Key.f24,Ctrl,2024-09-30 10:22:16,2024-09-30 10:22:21,42,002_20240930_091042_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:27:55,2024-09-30 09:28:00,41,002_20240930_091042_key_events.csv
11,Key.f22,volumedown,2024-10-23 21:31:56,2024-10-23 21:35:32,41,011_20241023_190050_key_events.csv
11,Key.f22,volumedown,2024-10-23 21:31:33,2024-10-23 21:31:38,40,011_20241023_190050_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:28:38,2024-09-30 09:28:43,40,002_20240930_091042_key_events.csv
6,Key.f22,Down,2024-10-11 11:18:03,2024-10-11 11:18:14,37,006_20241011_091340_key_events.csv
8,Key.f23,Down,2024-10-14 15:55:44,2024-10-14 15:55:49,35,008_20241014_083344_key_events.csv
6,Key.f22,Down,2024-10-11 11:07:51,2024-10-11 11:07:55,33,006_20241011_091340_key_events.csv
6,Key.f22,Ctrl,2024-10-07 13:10:29,2024-10-07 13:10:33,33,006_20241007_130239_key_events.csv
2,Key.f23,Alt,2024-10-02 09:07:09,2024-10-02 09:23:00,33,002_20241002_090331_key_events.csv
11,Key.f22,volumedown,2024-10-23 21:54:48,2024-10-23 21:54:52,32,011_20241023_190050_key_events.csv
7,Key.f23,Ctrl+Tab,2024-10-14 12:05:16,2024-10-14 12:05:20,32,007_20241014_094101_key_events.csv
11,Key.f22,volumedown,2024-10-24 01:42:48,2024-10-24 01:42:52,31,011_20241023_190050_key_events.csv
2,Key.f23,Alt,2024-10-02 09:04:23,2024-10-02 09:04:27,30,002_20241002_090331_key_events.csv
8,Key.f23,Down,2024-10-14 16:11:20,2024-10-14 16:11:24,30,008_20241014_083344_key_events.csv
8,Key.f23,Down,2024-10-14 16:21:13,2024-10-14 16:21:17,30,008_20241014_083344_key_events.csv
3,Key.f24,Alt,2024-09-30 10:15:05,2024-09-30 10:15:09,29,003_20240930_100543_key_events.csv
7,Key.f24,fn,2024-10-15 10:34:18,2024-10-15 10:34:28,29,007_20241015_103238_key_events.csv
3,Key.f24,no key,2024-09-30 10:15:34,2024-09-30 10:15:34,28,003_20240930_100543_key_events.csv
7,Key.f24,Enter,2024-10-14 13:08:01,2024-10-14 13:08:05,28,007_20241014_094101_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:26:21,2024-09-30 09:27:26,27,002_20240930_091042_key_events.csv
3,Key.f24,no key,2024-09-30 10:15:34,2024-09-30 10:15:34,27,003_20240930_100543_key_events.csv
7,Key.f23,Ctrl+Tab,2024-10-14 14:08:44,2024-10-14 14:08:48,27,007_20241014_094101_key_events.csv
1,Key.f22,Alt,2024-10-01 16:56:04,2024-10-01 16:56:08,26,001_20241001_161248_key_events.csv
7,Key.f22,Alt,2024-10-14 09:48:09,2024-10-14 09:48:12,25,007_20241014_094101_key_events.csv
11,Key.f23,volumeup,2024-10-23 21:31:38,2024-10-23 21:31:42,25,011_20241023_190050_key_events.csv
3,Key.f24,Alt+Tab,2024-09-30 10:14:24,2024-09-30 10:14:28,25,003_20240930_100543_key_events.csv
8,Key.f23,Down,2024-10-14 16:24:03,2024-10-14 16:24:06,24,008_20241014_083344_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:45:51,2024-09-30 09:45:54,24,002_20240930_091042_key_events.csv
2,Key.f24,Ctrl,2024-09-30 09:27:41,2024-09-30 09:27:44,23,002_20240930_091042_key_events.csv
7,Key.f23,Ctrl+Tab,2024-10-14 13:06:27,2024-10-14 13:06:30,23,007_20241014_094101_key_events.csv
11,Key.f24,mouse_left,2024-10-22 18:05:07,2024-10-22 18:05:10,22,011_20241022_160026_key_events.csv
6,Key.f23,mouse_left,2024-10-07 14:36:37,2024-10-07 14:36:39,22,006_20241007_130239_key_events.csv
8,Key.f23,Down,2024-10-14 16:21:10,2024-10-14 16:21:13,21,008_20241014_083344_key_events.csv
