"Zeitstempel","meine Nutzer-ID:","hier habe ich das Pedal genutzt:","Heute ist ","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","Dafür habe ich die Pedale heute genutzt:","Das ist mir dabei aufgefallen:","*Platz für weitere Gedanken*"
"2024/09/30 2:51:21 PM MEZ","003","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Switchen zwischen Fenster und Browsertabs","Alt+Tab hat nicht richtig funtkioniert aber Alt+Esc schon","Es wäre schön, bestimmte Programme starten zu können (z.B. wenn Pedal dann wird ein neues Browserfenster geöffnet oder Discord oder ...) oder bestimmte Aktionen ausführen z.B. Klick auf Browser-Extension aktivieren"
"2024/09/30 3:36:03 PM MEZ","001","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Hauptsächlich für Alt+Tab","Auf der Tastatur mache ich oft auch sowas wie Alt+Tab+Tab+Tab, um zwischen den verschiedenen Anwendungen zu wechseln.","Den Fuß auf dem Pedal zu lassen, fand ich ungemütlich, weil ich das Bein dann immer anspannen muss.
Ich sitze oft mit überschlagenen Beinen da, die musste ich dann erst ""entwirren"" und schauen, wo das Pedal unterm Tisch ist, um das richtige zu treffen.
Gewöhnung geht recht schnell. Fürs Tabben habe ich das Pedal einige Male genutzt, die anderen beiden Belegungen habe ich heute doch nicht gebraucht.
Ich habe nicht rumprobiert, was ich auf das Pedal lege und mir ist auch noch nichts weiteres eingefallen, was ich da super praktisch fände."
"2024/09/30 3:48:00 PM MEZ","002","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","alt+tab, ctrl+i, ctrl+s; davor hab ich andere ausprobiert wie ctrl, und alt seperat","wenn eine einzelne Taste nutze, hat das nicht funktioniert, da ich dann ja trotzdem noch was anderes drücken muss und dann müsste ich mich da sehr stark umgewöhnen. alt+tab hat schon teilweise funktioniert, da ich aber die Reihenfolge der Nutzung meiner ganzen Fenster nicht immer ganz im Kopf hab und ich damit ja nur zwischen den ersten zwei springen kann, hat es mir jetzt nicht immer geholfen. Die anderen beiden weiß ich nicht, ob ich sie dann überhaupt benutzt hab.","Mir ist aufgefallen, dass ich echt oft meine Sitzposition ändere und tatsächlich oft nicht so sitze, dass die Nutzung der Pedale einfach wäre."
"2024/10/01 3:41:20 PM MEZ","003","Büro","Tag 2 (Dienstag)","4","6","4","2","5","3","3","7","2","3","5","2","7","4","5","4","4","2","2","4","2","4","2","4","3","","Tabs und Programme wechseln","habe die Füße wenig am Boden und bin es gewohnt, ohne Pedal zu interagieren, weswegen ich es oft vergesse zu nutzen",""
"2024/10/01 3:51:52 PM MEZ","002","Büro","Tag 2 (Dienstag)","5","6","2","4","3","4","5","5","3","2","5","3","3","4","6","5","3","4","2","5","2","5","3","3","3","","alt+tab, alt+left, ctrl+s","alt+tab hab ich am meisten benutzt denk ich; da ich das schon gestern schon hatte, hatte ich es auch schon mehr im Kopf. ctrl+s hab ich auch manchmal ganz sinnvoll gefunden. nur alt+left hab ich heute draufgelegt und dann doch nicht genutzt.","Ich mag das kleinen Fuß-Icon. Ich hätte gern ""line statrt"" und ""line end"" auf die Pedale gelegt.
ich hatte das Gefühl es heute schon etwas mehr benutzt zu haben."
"2024/10/01 4:53:06 PM MEZ","001","Büro","Tag 2 (Dienstag)","5","7","3","2","4","5","5","4","5","1","4","4","6","5","7","5","3","1","3","4","2","7","1","4","2","","Ich habe meine Tastenbelegung zu Beginn meiner Arbeit geändert, weil ich gestern nur ein Pedal genutzt habe (die anderen beiden nicht gebraucht). Mit der Änderung habe ich heute alle drei Pedal genutzt.","Das System hat leider eine schwankende Latenz: Ich habe auf ein Pedal Alt, auf das andere Tab gelegt. Mein Laptop hat unterschiedlich schnell auf die Eingaben reagiert, manchmal war nur die ""Tab-Vorschau"" verzögert, manchmal kam sie gar nicht (Fenster hat aber gewechselt) und manchmal hat der Fensterwechsel sich verzögert.
Ich bin noch unsicher wie ich es finde, zwei Pedale so in Kombination zu verwenden...",""
"2024/10/02 3:54:47 PM MEZ","002","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","alt+tab, ctrl+shift+7, ctrl+s und am anfang nochmal ctrl+i","Ich fand alle vier eigentlich gut, nur ctrl+i hab ich dann gewechselt, weil es doch eher ein spezifischer Anwendungsfall ist und ich dachte, ich würde auskommentieren mehr nutzten. Aber hab ich dann glaub ich doch nicht so viel heute.","Ich hab heute auch nochmal alt als eigene taste und dann mit Tab selbst durch die Fenster taben ausprobiert. Aber das hatte zu viel Latenz als dass es für mich angenehm zum nutzten war. Daher hab ich dann wieder alt+tab benutzt"
"2024/10/02 4:00:35 PM MEZ","003","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Tabs wechseln, Programme wechseln","nutze es immer weniger, je mehr ich im ""Alltagstrott"" bin...vllt mal andere Belegung probieren",""
"2024/10/02 4:23:58 PM MEZ","001","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Wechseln zwischen Anwendungen und neue Tabs erzeugen (wie gestern)","Ich habe das Gefühl, dass ich mich inzwischen sehr an das Pedal gewöhnt habe. Ich habe die gleiche Pedalbelegung genutzt und die heute viel ""flüssiger"" und selbstverständlicher genutzt als gestern. Weil ich meine Schuhe ausgezogen und meine Füße zeitweise hochgenommen habe, musste ich sie manchmal extra ""entwirren"", um dann am Boden das Pedal zu nutzen.
Beide Füße für eine Aktion zu kombinieren, hat sich heute auch schon viel flüssiger und natürlicher angefühlt als gestern.","Ohne Schuhe habe ich die Füße öfters in den Lücken zwischen den Pedalen und weiß deshalb direkt, wo welches Pedal ist. Mit Schuhen musste ich dafür manchmal unter den Tisch schauen."
"2024/10/03 1:44:32 PM MEZ","001","Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Wie gestern, keine Änderung bemerkt. Zweiten Monitor genutzt, der hat mein Wechsel zwischen Anwendungen vermutlich schon beeinflusst.","Hätte heute mehr die Füße auf dem Stuhl gehabt und habe sie öfter extra runtergenommen, um an die Pedale zu kommen.",""
