ID,gender,age,1,2,3,4,5,6,7,8,9
001,weiblich,27,stimmt eher,stimmt eher,stimmt eher,stimmt eher nicht,stimmt eher,stimmt weitgehend,stimmt eher nicht,stimmt eher nicht,stimmt eher
002,weiblich,28,stimmt weitgehend,stimmt eher,stimmt eher nicht,stimmt eher nicht,stimmt eher,stimmt weitgehend nicht,stimmt eher,stimmt eher nicht,stimmt eher
003,weiblich,24,stimmt weitgehend,stimmt weitgehend,stimmt weitgehend nicht,stimmt eher nicht,stimmt eher,stimmt weitgehend nicht,stimmt eher nicht,stimmt eher nicht,stimmt weitgehend
004,männlich,23,stimmt eher,stimmt eher,stimmt weitgehend nicht,stimmt eher nicht,stimmt eher,stimmt eher nicht,stimmt eher nicht,stimmt eher,stimmt eher
005,weiblich,30,stimmt eher,stimmt weitgehend,stimmt eher nicht,stimmt weitgehend,stimmt eher,stimmt weitgehend nicht,stimmt eher nicht,stimmt eher nicht,stimmt eher
006,weiblich,34,stimmt weitgehend,stimmt weitgehend,stimmt weitgehend nicht,stimmt eher,stimmt eher,stimmt eher nicht,stimmt eher nicht,stimmt eher nicht,stimmt weitgehend
007,männlich,23,stimmt weitgehend,stimmt weitgehend,stimmt eher nicht,stimmt eher,stimmt eher,stimmt eher,stimmt eher nicht,stimmt eher nicht,stimmt eher
008,männlich,31,stimmt völlig,stimmt völlig,stimmt eher nicht,stimmt weitgehend,stimmt weitgehend,stimmt eher,stimmt weitgehend,stimmt eher nicht,stimmt weitgehend
009,männlich,35,stimmt weitgehend,stimmt weitgehend,stimmt eher nicht,stimmt weitgehend,stimmt eher,stimmt eher nicht,stimmt eher,stimmt eher nicht,stimmt eher nicht
010,weiblich,25,stimmt völlig,stimmt völlig,stimmt weitgehend nicht,stimmt völlig,stimmt völlig,stimmt weitgehend nicht,stimmt weitgehend,stimmt weitgehend nicht,stimmt weitgehend
011,weiblich,21,stimmt völlig,stimmt völlig,stimmt eher nicht,stimmt weitgehend,stimmt völlig,stimmt eher nicht,stimmt eher,stimmt weitgehend nicht,stimmt völlig
012,weiblich,27,stimmt weitgehend,stimmt weitgehend,stimmt eher,stimmt weitgehend,stimmt eher,stimmt eher,stimmt eher,stimmt weitgehend nicht,stimmt eher
