User Id,Timestamp,Key,Mapped to,Event Type
004,2024-10-07 09:37:23,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,down
004,2024-10-07 09:37:24,Key.f23,no key,up
004,2024-10-07 09:37:29,Key.f24,no key,down
004,2024-10-07 09:37:29,Key.f24,no key,up
004,2024-10-07 09:42:59,user_id,004,mapping
004,2024-10-07 09:42:59,input_1,Ctrl+f,mapping
004,2024-10-07 09:42:59,input_2,Ctrl+k,mapping
004,2024-10-07 09:42:59,input_3,,mapping
004,2024-10-07 10:01:31,Key.f22,Ctrl+f,down
004,2024-10-07 10:01:31,Key.f22,Ctrl+f,up
004,2024-10-07 10:02:08,Key.f22,Ctrl+f,down
004,2024-10-07 10:02:08,Key.f22,Ctrl+f,up
004,2024-10-07 10:07:16,Key.f22,Ctrl+f,down
004,2024-10-07 10:07:16,Key.f22,Ctrl+f,up
004,2024-10-07 10:26:51,Key.f22,Ctrl+f,down
004,2024-10-07 10:26:51,Key.f22,Ctrl+f,up
004,2024-10-07 10:27:44,Key.f22,Ctrl+f,down
004,2024-10-07 10:27:44,Key.f22,Ctrl+f,up
004,2024-10-07 10:30:28,key_count,upload_csv_files,2710
004,2024-10-07 10:30:28,success,upload_csv_file,004_20241007_093710_key_events_20241007_103026.csv
004,2024-10-07 10:33:05,user_id,004,mapping
004,2024-10-07 10:33:05,input_1,Ctrl+f,mapping
004,2024-10-07 10:33:05,input_2,Ctrl+k,mapping
004,2024-10-07 10:33:05,input_3,Ctrl+h,mapping
004,2024-10-07 10:33:09,Key.f24,Ctrl+h,down
004,2024-10-07 10:33:09,Key.f24,Ctrl+h,up
004,2024-10-07 10:33:34,Key.f24,Ctrl+h,down
004,2024-10-07 10:33:35,Key.f24,Ctrl+h,up
004,2024-10-07 10:38:06,Key.f23,Ctrl+k,down
004,2024-10-07 10:38:06,Key.f23,Ctrl+k,up
004,2024-10-07 10:38:11,Key.f23,Ctrl+k,down
004,2024-10-07 10:38:11,Key.f23,Ctrl+k,up
004,2024-10-07 10:38:12,Key.f23,Ctrl+k,down
004,2024-10-07 10:38:12,Key.f23,Ctrl+k,up
004,2024-10-07 10:55:14,Key.f22,Ctrl+f,down
004,2024-10-07 10:55:14,Key.f22,Ctrl+f,up
004,2024-10-07 11:23:34,Key.f22,Ctrl+f,down
004,2024-10-07 11:23:34,Key.f22,Ctrl+f,up
004,2024-10-07 11:29:14,user_id,004,mapping
004,2024-10-07 11:29:14,input_1,Ctrl+f,mapping
004,2024-10-07 11:29:14,input_2,Ctrl+k,mapping
004,2024-10-07 11:29:14,input_3,Ctrl+h,mapping
004,2024-10-07 11:30:28,key_count,upload_csv_files,4213
004,2024-10-07 11:30:28,success,upload_csv_file,004_20241007_093710_key_events_20241007_113028.csv
004,2024-10-07 11:40:50,Key.f22,Ctrl+f,down
004,2024-10-07 11:40:50,Key.f22,Ctrl+f,up
004,2024-10-07 11:51:50,Key.f22,Ctrl+f,down
004,2024-10-07 11:51:50,Key.f22,Ctrl+f,up
004,2024-10-07 11:51:54,Key.f22,Ctrl+f,down
004,2024-10-07 11:51:54,Key.f22,Ctrl+f,up
004,2024-10-07 11:52:57,Key.f22,Ctrl+f,down
004,2024-10-07 11:52:57,Key.f22,Ctrl+f,up
004,2024-10-07 11:53:00,Key.f22,Ctrl+f,down
004,2024-10-07 11:53:00,Key.f22,Ctrl+f,up
004,2024-10-07 12:30:29,key_count,upload_csv_files,1587
004,2024-10-07 12:30:29,success,upload_csv_file,004_20241007_093710_key_events_20241007_123028.csv
004,2024-10-07 13:36:56,Key.f24,Ctrl+h,down
004,2024-10-07 13:36:56,Key.f24,Ctrl+h,up
004,2024-10-07 13:37:04,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:04,Key.f23,Ctrl+k,up
004,2024-10-07 13:37:19,key_count,upload_csv_files,556
004,2024-10-07 13:37:19,success,upload_csv_file,004_20241007_093710_key_events_20241007_133719.csv
004,2024-10-07 13:37:23,Key.f24,Ctrl+h,down
004,2024-10-07 13:37:23,Key.f24,Ctrl+h,up
004,2024-10-07 13:37:25,Key.f24,Ctrl+h,down
004,2024-10-07 13:37:25,Key.f24,Ctrl+h,up
004,2024-10-07 13:37:27,Key.f24,Ctrl+h,down
004,2024-10-07 13:37:27,Key.f24,Ctrl+h,up
004,2024-10-07 13:37:30,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:30,Key.f23,Ctrl+k,up
004,2024-10-07 13:37:37,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:38,Key.f23,Ctrl+k,up
004,2024-10-07 13:37:38,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:39,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:40,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:40,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:40,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:40,Key.f23,Ctrl+k,down
004,2024-10-07 13:37:40,Key.f23,Ctrl+k,up
004,2024-10-07 13:41:10,user_id,004,mapping
004,2024-10-07 13:41:10,input_1,Ctrl+f,mapping
004,2024-10-07 13:41:10,input_2,Ctrl+k+Ctrl+c,mapping
004,2024-10-07 13:41:10,input_3,Ctrl+h,mapping
004,2024-10-07 13:41:14,Key.f23,Ctrl+k+Ctrl+c,down
004,2024-10-07 13:41:14,Key.f23,Ctrl+k+Ctrl+c,up
004,2024-10-07 13:47:10,user_id,004,mapping
004,2024-10-07 13:47:10,input_1,Ctrl+f,mapping
004,2024-10-07 13:47:10,input_2,Ctrl+k,mapping
004,2024-10-07 13:47:10,input_3,Ctrl+h,mapping
004,2024-10-07 14:05:00,Key.f24,Ctrl+h,down
004,2024-10-07 14:05:00,Key.f24,Ctrl+h,up
004,2024-10-07 14:05:18,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:18,Key.f23,Ctrl+k,up
004,2024-10-07 14:05:21,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
004,2024-10-07 14:05:22,Key.f23,Ctrl+k,down
