user_id,ueq_01,ueq_02,ueq_03,ueq_04,ueq_05,ueq_06,ueq_07,ueq_08,ueq_09,ueq_10,ueq_11,ueq_12,ueq_13,ueq_14,ueq_15,ueq_16,ueq_17,ueq_18,ueq_19,ueq_20,ueq_21,ueq_22,ueq_23,ueq_24,ueq_25,ueq_26
p_01_01,5,7,3,2,4,5,5,4,5,1,4,4,6,5,7,5,3,1,3,4,2,7,1,4,2,6
p_01_02,6,7,2,2,3,5,5,6,3,1,5,3,6,4,6,5,2,1,2,6,1,7,1,3,3,6
p_02_01,5,6,2,4,3,4,5,5,3,2,5,3,3,4,6,5,3,4,2,5,2,5,3,3,3,5
p_02_02,6,5,2,3,3,5,6,5,4,2,6,3,5,5,6,5,3,4,3,5,5,5,5,3,3,6
p_03_01,4,6,4,2,5,3,3,7,2,3,5,2,7,4,5,4,4,2,2,4,2,4,2,4,3,4
p_03_02,6,7,2,3,2,5,6,7,3,3,6,3,7,5,4,5,4,2,2,5,3,6,2,2,2,4
p_04_01,5,7,3,1,3,4,6,4,3,2,5,2,6,4,5,5,3,4,4,5,2,5,2,3,2,5
p_04_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_05_01,6,6,2,1,4,5,5,6,2,4,6,2,7,4,7,6,2,4,2,6,2,4,3,3,3,6
p_05_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_06_01,6,7,3,2,2,5,5,7,1,2,6,2,7,5,6,6,1,3,2,6,1,5,2,3,2,6
p_06_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_07_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_07_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_08_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_08_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_09_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_09_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_10_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_10_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_11_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_11_02,,,,,,,,,,,,,,,,,,,,,,,,,,
p_12_01,,,,,,,,,,,,,,,,,,,,,,,,,,
p_12_02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
p_13,,,,,,,,,,,,,,,,,,,,,,,,,,
